"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
          58, 0.019126124016949,  -4.0874160092196,  -0.5799367274231,  -1.1145885472071,   1.4808875650218,  -3.6816165865489, 0.072258908528343,   1.2357312408876
          59, 0.019092503366667,  -4.1047888909866, -0.59058152144131,  -1.1284256775372,   1.4635375168274,  -3.6673901721166,  0.07155033525128,   1.2352978818039
          60, 0.019060596409836,  -4.1217284216907, -0.60107875901301,  -1.1415683048728,   1.4466362080791,  -3.6538047364422, 0.070866254673548,   1.2346833834159
          61, 0.019029736435484,  -4.1382885132807, -0.61144261228076,  -1.1541123119745,   1.4302013756448,  -3.6409411829896, 0.070211400280596,   1.2339197110411
          62, 0.018999937888889,  -4.1544109707433, -0.62167592103394,  -1.1662065280828,   1.4142895090998,  -3.6288379056568, 0.069590098150088,   1.2330371483156
          63,    0.018971226625,  -4.1702847492253, -0.63178687482977,  -1.1779869066431,   1.3989567498839,  -3.6174785062463,  0.06900608851196,   1.2320636698634
          64, 0.018942632276923,  -4.1861424319985,  -0.6417349343632,  -1.1896410863263,   1.3840407403928,  -3.6067651763469,  0.06846261490002,    1.231025260019
          65, 0.018914686242424,  -4.2021556905321, -0.65147930513582,  -1.2013169545491,   1.3695682204511,  -3.5969176740525, 0.067962375993021,   1.2299453298093
          66, 0.018888197074627,  -4.2187184139234,  -0.6609274119333,   -1.213100828054,    1.355378435861,  -3.5878808037717, 0.067507360679699,   1.2288448412782
          67, 0.018862038838235,  -4.2359319731944, -0.66998156192036,  -1.2250061297687,   1.3415271000493,   -3.579695511036,  0.06709892538934,   1.2277419474526
          68, 0.018836504884058,  -4.2539967858655, -0.67851767189536,  -1.2369793917412,    1.327988492538,  -3.5723689171849, 0.066737743185211,    1.226652064933
          69, 0.018812336657143,   -4.272621156616, -0.68643898627562,  -1.2488296062162,   1.3150570062947,  -3.5659174220468, 0.066423778703105,   1.2255877647335
          70, 0.018789606774648,  -4.2914969225565, -0.69367404606987,   -1.260302622664,   1.3029568464634,  -3.5603402838582, 0.066156284027637,   1.2245587002158
          71,      0.0187663935,  -4.3099131229139, -0.70021471565788,   -1.271077409126,   1.2920761519773,  -3.5555739090502, 0.065933913425612,   1.2235719591069
          72, 0.018744278972603,  -4.3269292025173, -0.70611006212074,  -1.2807921566461,   1.2828079753754,  -3.5515151768461, 0.065754771603263,   1.2226322960215
          73, 0.018722591891892,  -4.3414553704287,  -0.7114945861913,   -1.289123883741,   1.2754791011306,  -3.5480748576538, 0.065616473161238,   1.2217423318586
          74,     0.01870108108,  -4.3525124657815, -0.71656805916879,  -1.2958362476772,   1.2702402951791,  -3.5450512462724, 0.065516237230919,   1.2209027092937
          75, 0.018679786868421,  -4.3594104142444, -0.72159979701812,  -1.3008161545972,   1.2670698862438,  -3.5434161504554, 0.065450887516725,    1.220112109195
          76, 0.018659496233766,  -4.3621311091158, -0.72685522447506,  -1.3042015214543,   1.2656268112055,  -3.5416845952506, 0.065417133241128,   1.2193681441219
          77, 0.018639982410256,  -4.3609862060158, -0.73262951479487,  -1.3061481520255,   1.2655157939073,  -3.5396929942404, 0.065411537115027,   1.2186671230056
          78, 0.018616822544304,  -4.3568366396791, -0.73920621444758,  -1.3070041131026,   1.2662169106504,  -3.5371656050701, 0.065429671508567,   1.2180107336088
          79,    0.018592845075,  -4.3502223611528, -0.74683055250676,  -1.3066356080924,   1.2681049602949,  -3.5338670159186, 0.065470817496567,   1.2174028753548
          80, 0.018569593901235,  -4.3430042239735, -0.75576410585978,  -1.3065959481742,   1.2688717798301,  -3.5296167060406, 0.065526958754489,   1.2168188210626
          81, 0.018546811560976,  -4.3369010223077, -0.76619157273956,  -1.3069791605149,   1.2682175731042,  -3.5244684491807,  0.06559810571366,    1.216250061035
          82, 0.018525701072289,  -4.3317935428071, -0.77826135686788,   -1.308105251827,   1.2663239720058,  -3.5185960399133, 0.065683211537849,   1.2156998911527
          83,  0.01850421852381,  -4.3282893620469, -0.79209306549002,  -1.3103068006806,   1.2629224710202,   -3.512243757051, 0.065778900853112,   1.2151716187135
          84, 0.018482552952941,  -4.3269049546808, -0.80776410366012,  -1.3138857913962,   1.2577056836344,  -3.5056619510185, 0.065881369962459,   1.2146637457548
          85,  0.01846218444186,  -4.3277877801337, -0.82531804798214,   -1.319074238359,   1.2505551545392,  -3.4991199849909, 0.065987679131645,   1.2141720172861
          86, 0.018447043022989,  -4.3309652638122, -0.84476429077358,   -1.326051506721,   1.2414073030233,  -3.4928073133345, 0.066095903831703,   1.2136929192827
          87, 0.018429536454545,  -4.3363566812191, -0.86609570410087,  -1.3349562038742,   1.2302638220437,  -3.4870351634714, 0.066204768456703,   1.2132253218238
          88, 0.018411025404494,  -4.3438291648282, -0.88924222151272,  -1.3458766477519,   1.2171595450737,  -3.4820027246672, 0.066313277046529,   1.2127701299441
