"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
         137, 0.017275197644928,  -7.9761081460457,   -7.066612533474,  -7.5073928609602,  -7.5483994332003,  -9.2104851299363, 0.068385288723535,   1.2197132815625
         138, 0.017268671021583,  -7.9886593268311,  -7.0810045406467,  -7.5285554998519,  -7.5631681068811,  -9.2269325915108, 0.068385341972987,   1.2200529621087
         139, 0.017261740364286,  -8.0032426032314,   -7.094899963084,  -7.5489210181955,  -7.5789155311173,   -9.245958336414, 0.068385544205188,   1.2203882311376
         140,  0.01725503929078,  -8.0196085516476,  -7.1082735228795,  -7.5679459415008,  -7.5953488490096,  -9.2675207087516, 0.068385921477995,   1.2207188207447
         141, 0.017248264894366,  -8.0373660414808,  -7.1211750027943,  -7.5851288298608,  -7.6120653495572,  -9.2915058137939,   0.0683864835713,   1.2210444835611
         142, 0.017241808090909,  -8.0560012124866,  -7.1337162681871,  -7.6001382172941,  -7.6287109202771,  -9.3177143931985, 0.068387228243614,   1.2213649983675
         143, 0.017235301104167,  -8.0747841074074,  -7.1460735760263,  -7.6128493014618,  -7.6447419192869,   -9.345843365531, 0.068388137487555,   1.2216801496378
         144, 0.017229080724138,  -8.0930092128944,  -7.1584729898516,  -7.6232985606041,  -7.6597709903181,  -9.3754675024658, 0.068389186178647,   1.2219897454102
         145, 0.017223091431507,  -8.1098943334961,  -7.1711532804149,  -7.6318200053148,  -7.6734553395585,  -9.4060243771941,  0.06839033726351,   1.2222935978902
         146, 0.017216846285714,  -8.1247074173715,   -7.184364816747,  -7.6389124448358,  -7.6855872743776,   -9.436888664872,  0.06839154574002,   1.2225915265372
         147, 0.017210524662162,  -8.1369845660285,  -7.1983302518989,  -7.6451774921505,  -7.6962127406092,  -9.4672382250767, 0.068392764081429,   1.2228833696983
         148, 0.017209664107383,  -8.1465455240735,  -7.2130592867706,  -7.6512295569516,   -7.705473765545,  -9.4962816206289, 0.068393964175657,   1.2231690481078
         149, 0.017204069386667,  -8.1531183064123,  -7.2292235358316,   -7.657657761384,  -7.7133659581972,  -9.5233144193368, 0.068395013777534,   1.2234481502192
         150,  0.01720024092053,  -8.1583576859481,  -7.2465209451129,  -7.6650100602499,  -7.7212398813243,  -9.5478284228616, 0.068396024231282,   1.2237210388062
         151, 0.017195484605263,  -8.1622304015528,  -7.2650744303588,  -7.6737219482923,  -7.7290658911836,  -9.5695223037376, 0.068396797508076,   1.2239872880398
